混合拟合区间判断：
1）[a1,a2]：表如下
z值区间 | 点的个数
--------------------
[4.7, 4.8) | 727
[4.8, 4.9) | 623
[4.9, 5.0) | 348
[5.0, 5.1) | 188
[5.1, 5.2) | 157
[5.2, 5.3) | 148
[5.3, 5.4) | 143
[5.4, 5.5) | 143
[5.5, 5.6) | 154
[5.6, 5.7) | 153
[5.7, 5.8) | 123
[5.8, 5.9) | 150
[5.9, 6.0) | 153
[6.0, 6.1) | 141
[6.1, 6.2) | 146
[6.2, 6.3) | 152
[6.3, 6.4) | 143
[6.4, 6.5) | 143
[6.5, 6.6) | 147
[6.6, 6.7) | 143
[6.7, 6.8) | 139
[6.8, 6.9) | 154
[6.9, 7.0) | 142
[7.0, 7.1) | 144
[7.1, 7.2) | 133
[7.2, 7.3) | 144
[7.3, 7.4) | 146
[7.4, 7.5) | 141
[7.5, 7.6) | 161
[7.6, 7.7) | 127
[7.7, 7.8) | 108
--------------------

2）[a3,a4]：表如下
z值区间 | 点的个数
--------------------
[4.7, 4.8) | 431
[4.8, 4.9) | 527
[4.9, 5.0) | 225
[5.0, 5.1) | 117
[5.1, 5.2) | 83
[5.2, 5.3) | 130
[5.3, 5.4) | 97
[5.4, 5.5) | 101
[5.5, 5.6) | 86
[5.6, 5.7) | 84
[5.7, 5.8) | 92
[5.8, 5.9) | 85
[5.9, 6.0) | 84
[6.0, 6.1) | 224
[6.1, 6.2) | 102
[6.2, 6.3) | 105
[6.3, 6.4) | 115
[6.4, 6.5) | 85
[6.5, 6.6) | 100
[6.6, 6.7) | 127
[6.7, 6.8) | 112
[6.8, 6.9) | 110
[6.9, 7.0) | 90
[7.0, 7.1) | 101
[7.1, 7.2) | 110
[7.2, 7.3) | 118
[7.3, 7.4) | 95
[7.4, 7.5) | 116
[7.5, 7.6) | 101
[7.6, 7.7) | 112
[7.7, 7.8) | 96
--------------------

3）[a5,a6]：表如下
z值区间 | 点的个数
--------------------
[4.7, 4.8) | 528
[4.8, 4.9) | 440
[4.9, 5.0) | 208
[5.0, 5.1) | 126
[5.1, 5.2) | 95
[5.2, 5.3) | 94
[5.3, 5.4) | 117
[5.4, 5.5) | 108
[5.5, 5.6) | 110
[5.6, 5.7) | 103
[5.7, 5.8) | 101
[5.8, 5.9) | 114
[5.9, 6.0) | 99
[6.0, 6.1) | 112
[6.1, 6.2) | 111
[6.2, 6.3) | 105
[6.3, 6.4) | 106
[6.4, 6.5) | 99
[6.5, 6.6) | 120
[6.6, 6.7) | 104
[6.7, 6.8) | 101
[6.8, 6.9) | 110
[6.9, 7.0) | 109
[7.0, 7.1) | 107
[7.1, 7.2) | 85
[7.2, 7.3) | 76
[7.3, 7.4) | 98
[7.4, 7.5) | 96
[7.5, 7.6) | 99
[7.6, 7.7) | 184
[7.7, 7.8) | 70
--------------------
